Time,incentive
2024-03-20 06:47:07,0.00238
2024-03-20 07:15:48,0.00296
2024-03-20 12:57:09,0.005325
2024-03-20 16:31:40,0.004807
2024-03-20 16:56:17,0.005097
2024-03-20 18:22:30,0.005081
2024-03-20 19:28:17,0.004547
2024-03-20 20:54:32,0.004685
2024-03-20 22:00:17,0.004761
2024-03-21 00:37:20,0.004425
2024-03-21 02:06:06,0.004486
2024-03-21 03:14:50,0.004471
2024-03-21 07:17:28,0.004791
2024-03-21 08:24:49,0.004776
2024-03-21 09:54:08,0.004944
2024-03-21 11:00:02,0.00502
2024-03-21 12:26:33,0.004974
2024-03-21 13:33:29,0.004898
2024-03-21 15:02:29,0.004852
2024-03-21 18:46:20,0.004715
2024-03-21 21:20:18,0.00444
2024-03-21 22:47:41,0.004196
2024-03-21 23:55:29,0.003983
2024-03-22 01:23:37,0.004105
2024-03-23 01:31:18,0.003677
2024-03-23 01:57:04,0.003555
2024-03-23 03:25:54,0.004044
2024-03-23 05:59:24,0.004349
2024-03-23 07:07:42,0.004578
2024-03-23 08:37:58,0.004623
2024-03-23 09:44:55,0.00415
2024-03-23 11:13:34,0.003952
2024-03-23 12:21:22,0.004257
2024-03-26 13:53:02,0.003723
2024-03-26 14:18:41,0.003769
2024-03-26 16:55:11,0.004135
2024-03-26 18:04:30,0.004074
2024-03-26 22:09:24,0.004059
2024-03-26 23:16:45,0.004395
2024-03-27 01:54:54,0.003998
2024-03-27 03:24:11,0.004028
2024-03-27 07:11:04,0.004211
2024-03-27 08:39:24,0.003937
2024-03-27 09:48:17,0.003891
2024-03-27 12:29:20,0.003784
2024-03-27 15:05:38,0.003876
2024-03-27 19:02:58,0.003906
2024-03-27 23:09:43,0.003967
2024-03-28 01:47:39,0.004089
2024-03-28 02:54:44,0.00412
2024-03-28 04:23:29,0.004318
2024-03-28 05:32:39,0.004334
2024-03-28 12:15:49,0.004303
2024-03-28 13:23:59,0.004379
2024-03-28 21:20:22,0.004166
2024-03-29 01:07:13,0.003738
2024-03-29 06:28:34,0.004013
2024-03-29 16:00:09,0.004562
2024-03-29 18:36:57,0.004501
2024-03-29 19:45:50,0.004288
2024-03-30 06:27:58,0.00383
2024-03-30 09:06:59,0.003815
2024-03-30 11:46:30,0.00441
2024-03-30 21:16:08,0.004273
2024-03-31 02:16:57,0.003693
2024-03-31 05:16:02,0.003647
2024-04-01 10:26:12,0.003845
2024-04-01 11:36:01,0.003861
2024-04-02 05:15:19,0.00351